,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations
1726,376867,tt4975722,2016,2017,Moonlight,Best Picture,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",True,3.0,8,[18],"['Trevante Rhodes', 'André Holland', 'Janelle Monáe', 'Ashton Sanders']",35.64600000000002,Barry Jenkins,"['Dede Gardner', 'Jeremy Kleiner', 'Adele Romanski']",['Barry Jenkins'],89.77899999999981,4000000,65046687,111,74,5517,74,276549,98,99,219,290
1727,329865,tt2543164,2016,2017,Arrival,Best Adapted Screenplay,Screenplay by Eric Heisserer,False,1.0,8,"[18, 878, 9648]","['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",109.91899999999988,Denis Villeneuve,"['Aaron Ryder', 'Shawn Levy', 'David Linde', 'Karen Lunder', 'Daniel S. Levine', 'Dan Cohen', 'Dan Levine']",['Eric Heisserer'],336.54300000000126,47000000,203388186,116,75,13579,79,600107,94,81,63,261
1728,393457,tt2671706,2016,2017,Fences,Best Adapted Screenplay,Screenplay by August Wilson,False,1.0,4,[18],"['Denzel Washington', 'Viola Davis', 'Stephen Henderson', 'Jovan Adepo']",49.598,Denzel Washington,"['Scott Rudin', 'Denzel Washington']",['August Wilson'],115.98399999999984,24000000,64414761,139,68,1950,72,99514,92,79,56,120
1729,381284,tt4846340,2016,2017,Hidden Figures,Best Adapted Screenplay,Screenplay by Allison Schroeder and Theodore Melfi,False,0.0,3,"[18, 36]","['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe', 'Kevin Costner']",104.72599999999997,Theodore Melfi,"['Donna Gigliotti', 'Jenno Topping', 'Peter Chernin', 'Pharrell Williams', 'Theodore Melfi']","['Allison Schroeder', 'Theodore Melfi']",93.9009999999998,25000000,230698791,127,80,6737,78,203666,93,74,36,91
1730,334543,tt3741834,2016,2017,Lion,Best Adapted Screenplay,Screenplay by Luke Davies,False,0.0,6,[18],"['Dev Patel', 'Rooney Mara', 'David Wenham', 'Nicole Kidman']",68.48699999999998,Garth Davis,"['Emile Sherman', 'Iain Canning', 'Angie Fielder']",['Luke Davies'],42.26500000000004,12000000,140312928,118,81,5270,80,216269,84,69,58,103
1731,376867,tt4975722,2016,2017,Moonlight,Best Adapted Screenplay,Screenplay by Barry Jenkins; Story by Tarell Alvin McCraney,True,3.0,8,[18],"['Trevante Rhodes', 'André Holland', 'Janelle Monáe', 'Ashton Sanders']",35.64600000000002,Barry Jenkins,"['Dede Gardner', 'Jeremy Kleiner', 'Adele Romanski']",['Barry Jenkins'],89.77899999999981,4000000,65046687,111,74,5517,74,276549,98,99,219,290
1732,338766,tt2582782,2016,2017,Hell or High Water,Best Original Screenplay,Written by Taylor Sheridan,False,0.0,4,"[37, 80]","['Jeff Bridges', 'Chris Pine', 'Ben Foster', 'Gil Birmingham']",82.30399999999999,David Mackenzie,"['Sidney Kimmel', 'Peter Berg', 'Julie Yorn', 'Carla Hacken']",['Taylor Sheridan'],45.657000000000046,12000000,37589296,102,73,3305,76,206201,97,88,46,167
1733,313369,tt3783958,2016,2017,La La Land,Best Original Screenplay,Written by Damien Chazelle,False,6.0,14,"[35, 18, 10749, 10402]","['Ryan Gosling', 'Emma Stone', 'John Legend', 'Rosemarie DeWitt']",170.96799999999976,Damien Chazelle,"['Gary Gilbert', 'Marc Platt', 'Jordan Horowitz', 'Fred Berger']",[],130.44799999999967,30000000,446486224,129,79,13143,80,511972,91,94,235,287
1734,254320,tt3464902,2016,2017,The Lobster,Best Original Screenplay,"Written by Yorgos Lanthimos, Efthimis Filippou",False,0.0,1,"[35, 18, 10749]","['Colin Farrell', 'Rachel Weisz', 'Léa Seydoux', 'Ben Whishaw']",74.91399999999993,Yorgos Lanthimos,"['Ed Guiney', 'Yorgos Lanthimos', 'Ceci Dempsey', 'Lee Magiday']","['Yorgos Lanthimos', 'Efthymis Filippou']",33.757000000000026,4000000,15656193,118,70,4348,72,223556,87,82,34,82
1735,334541,tt4034228,2016,2017,Manchester by the Sea,Best Original Screenplay,Written by Kenneth Lonergan,True,2.0,6,[18],"['Casey Affleck', 'Michelle Williams', 'Kyle Chandler', 'Lucas Hedges']",90.89699999999992,Kenneth Lonergan,"['Matt Damon', 'Chris Moore', 'Gigi Pritzker', 'Kevin J. Walsh', 'Lauren Beck', 'Kimberly Steward']",[],65.84500000000006,9000000,78988148,138,75,4379,78,250090,96,96,127,263
